Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0		0		0		0		0		0		0
2001	0		0		0		0		0		0		0
2002	0		0		0		0		0		0		0
2003	0		0		0		0		0		0		0
2004	0		0		0		0		0		0		0
2005	0		0		0		0		0		0		0
2006	1		0		2		5		0		1		0				
2007	2		0		3		0		1		6		5
2008	7		1		5		36		8		10		31
2009	28		0		5		58		7		27		52		
2010	44		6		7		58		10		62		63
2011	335		8		11		48		6		86		61
2012	86		5		47		77		25		138		104
2013	379		50		167		67		58		720		465
2014	232		26		82		848		49		171		111
2015	36		21		32		3		0		28		38
